Reason_for_current_course,First_interest_for_current_course,Subjects_before_university,previous_course_prepared_how_much_for_current_course,Career_prospects_Importance,Post_course_goals,Workload_assessment_method,Preferred_learning_environment,Alignment_with_career_goals,Would_you_recommend,Confident_skills,Your_strengths,Alternative_choice,satisfaction_with_current_course,Current_Course
Strong job prospects and career opportunities,Personal experience or hobby,Chemistry,9,Somewhat important,Develop transferable skills for various job sectors,I didn’t think about it much; I just went for it,"A hands-on, practical approach with real-world applications",Somewhat interested,Maybe,technical skills,Lab work,Pharmacy,7,Chemistry
Strong job prospects and career opportunities,Personal experience or hobby,Chemistry,8,Extremely important,Develop transferable skills for various job sectors,I assumed it would be manageable based on my interests and strengths,"A hands-on, practical approach with real-world applications",Extremely interested,Maybe,Problem-solving,Data analysis,Pharmacy,4,Chemistry
Passion for the subject,Personal experience or hobby,Chemistry,9,Extremely important,Pursue further study or research in the field,I assumed it would be manageable based on my interests and strengths,"A hands-on, practical approach with real-world applications",Somewhat interested,Maybe,technical skills,Lab work,Chemical Engineering,8,Chemistry
Strong job prospects and career opportunities,Personal experience or hobby,Chemistry,6,Extremely important,Develop transferable skills for various job sectors,I assumed it would be manageable based on my interests and strengths,"A hands-on, practical approach with real-world applications",Somewhat interested,No,technical skills,Leadership skills,No,6,Chemistry
Passion for the subject,"No clear reason, just interested in the subject",Chemistry,3,Extremely important,Develop transferable skills for various job sectors,I didn’t think about it much; I just went for it,A mix of both theory and practice,Extremely interested,Yes,Researching skills,Data analysis,No,8,Chemistry
Strong job prospects and career opportunities,"No clear reason, just interested in the subject",Physics,8,Extremely important,Secure a job in a specific industry or field,I didn’t think about it much; I just went for it,A mix of both theory and practice,Somewhat interested,Yes,Mathematical skills,Leadership skills,No,9,Civil Engineering
Passion for the subject,Personal experience or hobby,Unknown,2,Somewhat not important,Start my own business or entrepreneurial venture,I assumed it would be manageable based on my interests and strengths,"A hands-on, practical approach with real-world applications",Extremely interested,Maybe,Problem-solving,Lab work,Business Managment,9,Civil Engineering
Passion for the subject,Researching future career opportunities, Mathematics,10,Extremely important,Develop transferable skills for various job sectors,I researched online and talked to current students,A mix of both theory and practice,Somewhat interested,Maybe,Mathematical skills,Lab work,Teaching,1,Civil Engineering
Passion for the subject,Personal experience or hobby,Physics,6,Somewhat important,Secure a job in a specific industry or field,I assumed it would be manageable based on my interests and strengths,"A hands-on, practical approach with real-world applications",Neutral,Maybe,technical skills,Lab work,Chemical Engineering,8,Civil Engineering
Passion for the subject,Personal experience or hobby,Mathematics,1,Somewhat important,Secure a job in a specific industry or field,I assumed it would be manageable based on my interests and strengths,"A hands-on, practical approach with real-world applications",Neutral,Yes,Mathematical skills,Lab work,Computer Science,6,Civil Engineering
Strong job prospects and career opportunities,Personal experience or hobby,Engineering,1,Somewhat important,Start my own business or entrepreneurial venture,I assumed it would be manageable based on my interests and strengths,"A hands-on, practical approach with real-world applications",Extremely interested,Yes,Mathematical skills,Data analysis,Business,9,Civil Engineering
Strong job prospects and career opportunities,"Exposure through media (books, TV, etc.)",Mathematics,1,Extremely important,Secure a job in a specific industry or field,I researched online and talked to current students,"A hands-on, practical approach with real-world applications",Somewhat interested,Yes,Mathematical skills,Lab work,Chemical Engineering,10,Civil Engineering
High earning potential after graduation,"No clear reason, just interested in the subject",Sociology,3,Somewhat important,Pursue further study or research in the field,I didn’t think about it much; I just went for it,A mix of both theory and practice,Somewhat interested,Yes,Problem-solving,Leadership skills,Sports,2,Computer Science
Strong job prospects and career opportunities,Personal experience or hobby,Mathematics,3,Extremely important,Secure a job in a specific industry or field,I considered the course prerequisites and my academic background,"Self-paced, independent learning",Extremely interested,Maybe,Problem-solving,Ethical reasoning,Law,6,Computer Science
Interest in learning new skills,"No clear reason, just interested in the subject",Information Technology,1,Somewhat important,Secure a job in a specific industry or field,I didn’t think about it much; I just went for it,"A theoretical, lecture-based approach with in-depth learning",Somewhat interested,Maybe,Researching skills,Data analysis,Cyber Security,4,Computer Science
High earning potential after graduation,"Exposure through media (books, TV, etc.)",Mathematics,8,Extremely important,Develop transferable skills for various job sectors,I considered the course prerequisites and my academic background,"A hands-on, practical approach with real-world applications",Extremely interested,Maybe,Problem-solving,Data analysis,Economics,2,Computer Science
Passion for the subject,Inspired by a teacher or mentor,Computer Science,8,Neutral,Pursue further study or research in the field,I assumed it would be manageable based on my interests and strengths,"Self-paced, independent learning",Somewhat interested,Yes,technical skills,Lab work,No,2,Computer Science
Passion for the subject,"Exposure through media (books, TV, etc.)",Applied Science,6,Extremely important,Develop transferable skills for various job sectors,I researched online and talked to current students,"A theoretical, lecture-based approach with in-depth learning",Extremely interested,Yes,Problem-solving,Data analysis,Artificial Intelligence,8,Computer Science
Strong job prospects and career opportunities,Researching future career opportunities,Unknown,8,Somewhat important,Secure a job in a specific industry or field,I considered the course prerequisites and my academic background,A mix of both theory and practice,Neutral,Yes,Researching skills,Leadership skills,No,5,Computer Science
High earning potential after graduation,Inspired by a teacher or mentor,Information Technology,2,Extremely important,Develop transferable skills for various job sectors,I didn’t think about it much; I just went for it,A mix of both theory and practice,Somewhat interested,Maybe,Problem-solving,Ethical reasoning,No,7,Computer Science
Passion for the subject,"No clear reason, just interested in the subject",Chemistry,7,Extremely important,Secure a job in a specific industry or field,I didn’t think about it much; I just went for it,A mix of both theory and practice,Somewhat interested,Yes,Researching skills,Lab work,No,7,Cosmetics Science
Passion for the subject,Personal experience or hobby,Chemistry,3,Extremely important,Develop transferable skills for various job sectors,I researched online and talked to current students,"A hands-on, practical approach with real-world applications",Extremely interested,No,Researching skills,Lab work,Cosmetics Science,6,Cosmetics Science
High earning potential after graduation,Personal experience or hobby,Mathematics,10,Somewhat important,Secure a job in a specific industry or field,I assumed it would be manageable based on my interests and strengths,A mix of both theory and practice,Extremely interested,No,technical skills,Ethical reasoning,No,10,Mechanical Engineering
Passion for the subject,Inspired by a teacher or mentor,Mathematics,5,Extremely important,Secure a job in a specific industry or field,I researched online and talked to current students,"A theoretical, lecture-based approach with in-depth learning",Extremely interested,Yes,Mathematical skills,Data analysis,Physics,6,Mathematics
Passion for the subject,Personal experience or hobby,Mathematics,8,Extremely important,Develop transferable skills for various job sectors,I considered the course prerequisites and my academic background,"A collaborative, group-based learning experience",Extremely interested,Maybe,Mathematical skills,Leadership skills,No,8,Mathematics
Passion for the subject,Inspired by a teacher or mentor,Mathematics,8,Somewhat important,Secure a job in a specific industry or field,I assumed it would be manageable based on my interests and strengths,A mix of both theory and practice,Somewhat interested,Yes,Problem-solving,Data analysis,Computer Science,9,Mathematics
Passion for the subject,Inspired by a teacher or mentor,Mathematics,10,Extremely not important,Secure a job in a specific industry or field,I didn’t think about it much; I just went for it,"A theoretical, lecture-based approach with in-depth learning",Somewhat interested,Yes,Mathematical skills,Data analysis,No,8,Mathematics
Strong job prospects and career opportunities,Inspired by a teacher or mentor,Mathematics,7,Extremely important,Secure a job in a specific industry or field,I assumed it would be manageable based on my interests and strengths,"A collaborative, group-based learning experience",Extremely interested,Yes,Mathematical skills,Data analysis,Physics,9,Mathematics
Passion for the subject,"No clear reason, just interested in the subject",Mathematics,10,Somewhat important,Secure a job in a specific industry or field,I didn’t think about it much; I just went for it,A mix of both theory and practice,Extremely interested,Yes,Problem-solving,Data analysis,No,10,Mathematics
Strong job prospects and career opportunities,Personal experience or hobby,Mathematics,8,Somewhat not important,Pursue further study or research in the field,I didn’t think about it much; I just went for it,"A hands-on, practical approach with real-world applications",Extremely interested,Yes,Mathematical skills,Data analysis,No,9,Mathematics with finance
Strong job prospects and career opportunities,Inspired by a teacher or mentor,Physics,2,Extremely important,Pursue further study or research in the field,I considered the course prerequisites and my academic background,"A hands-on, practical approach with real-world applications",Somewhat interested,No,Mathematical skills,Lab work,Electrical Engineering,4,Mechanical Engineering
Strong job prospects and career opportunities,Researching future career opportunities,Physics,9,Somewhat important,Pursue further study or research in the field,I assumed it would be manageable based on my interests and strengths,A mix of both theory and practice,Extremely interested,Maybe,Problem-solving,Data analysis,Sustainability Engineering,2,Mechanical Engineering
Strong job prospects and career opportunities,Career advice or guidance,Physics,9,Somewhat important,Secure a job in a specific industry or field,I didn’t think about it much; I just went for it,"A hands-on, practical approach with real-world applications",Extremely interested,Yes,Mathematical skills,Ethical reasoning,Astronomy,9,Mechanical Engineering
Strong job prospects and career opportunities,"No clear reason, just interested in the subject",Physics,10,Extremely important,Secure a job in a specific industry or field,I researched online and talked to current students,"A hands-on, practical approach with real-world applications",Somewhat interested,Yes,Problem-solving,Lab work,Business with Finance,9,Mechanical Engineering
Strong job prospects and career opportunities,"No clear reason, just interested in the subject",Physics,7,Extremely important,Pursue further study or research in the field,I didn’t think about it much; I just went for it,A mix of both theory and practice,Extremely interested,Maybe,Mathematical skills,Data analysis,Mathematics,4,Mechanical Engineering
Strong job prospects and career opportunities,Career advice or guidance,Physics,7,Extremely important,Develop transferable skills for various job sectors,I researched online and talked to current students,A mix of both theory and practice,Neutral,Yes,Problem-solving,Data analysis,No,8,Mechanical Engineering
Passion for the subject,Personal experience or hobby,Mathematics,7,Extremely important,Secure a job in a specific industry or field,I considered the course prerequisites and my academic background,A mix of both theory and practice,Somewhat interested,Yes,Researching skills,Ethical reasoning,Electrical Engineering,7,Mechatronics & Automated Systems
Strong job prospects and career opportunities,Personal experience or hobby,Chemistry,1,Extremely important,Develop transferable skills for various job sectors,I didn’t think about it much; I just went for it,"A hands-on, practical approach with real-world applications",Extremely interested,Maybe,Problem-solving,Ethical reasoning,Chemistry,1,Pharmacy
High earning potential after graduation,Inspired by a teacher or mentor,Unknown,2,Neutral,Develop transferable skills for various job sectors,I considered the course prerequisites and my academic background,"A theoretical, lecture-based approach with in-depth learning",Somewhat interested,No,Mathematical skills,Data analysis,Cyber Security,1,Data Science
Strong job prospects and career opportunities,"Exposure through media (books, TV, etc.)",Software Engineering,7,Extremely important,Pursue further study or research in the field,I considered the course prerequisites and my academic background,"A hands-on, practical approach with real-world applications",Extremely interested,No,technical skills,Lab work,No,1,Artificial Intelligence
High earning potential after graduation,Researching future career opportunities,Applied Science,7,Extremely important,Secure a job in a specific industry or field,I didn’t think about it much; I just went for it,A mix of both theory and practice,Extremely interested,Yes,Problem-solving,Ethical reasoning,No,10,Pharmacy
Strong job prospects and career opportunities,Researching future career opportunities,Chemistry,7,Extremely important,Secure a job in a specific industry or field,I didn’t think about it much; I just went for it,A mix of both theory and practice,Extremely interested,Yes,Problem-solving,Ethical reasoning,Computer Science,7,Pharmacy
Passion for the subject,"Exposure through media (books, TV, etc.)",Chemistry,4,Extremely important,Secure a job in a specific industry or field,I assumed it would be manageable based on my interests and strengths,A mix of both theory and practice,Extremely interested,Yes,Mathematical skills,Ethical reasoning,Dentistry,8,Pharmacy
Influence of family or friends,Inspired by a teacher or mentor,Biology,6,Somewhat important,Develop transferable skills for various job sectors,I considered the course prerequisites and my academic background,A mix of both theory and practice,Extremely interested,No,Problem-solving,Ethical reasoning,Dentistry,3,Pharmacy
Passion for the subject,Researching future career opportunities,Chemistry,2,Somewhat important,Pursue further study or research in the field,I didn’t think about it much; I just went for it,A mix of both theory and practice,Somewhat interested,Maybe,Mathematical skills,Leadership skills,Neuroscience,8,Pharmacy
Strong job prospects and career opportunities,"No clear reason, just interested in the subject",Chemistry,6,Neutral,Pursue further study or research in the field,I assumed it would be manageable based on my interests and strengths,"A hands-on, practical approach with real-world applications",Neutral,Yes,Problem-solving,Leadership skills,Medicine,4,Pharmacy
High earning potential after graduation,Researching future career opportunities,Biology,6,Somewhat important,Secure a job in a specific industry or field,I didn’t think about it much; I just went for it,"A hands-on, practical approach with real-world applications",Somewhat interested,Yes,technical skills,Leadership skills,No,6,Pharmacy
Passion for the subject,Personal experience or hobby,Chemistry,8,Somewhat important,Develop transferable skills for various job sectors,I didn’t think about it much; I just went for it,"A hands-on, practical approach with real-world applications",Extremely interested,Maybe,Problem-solving,Lab work,Psychology,5,Pharmacy
Passion for the subject,"Exposure through media (books, TV, etc.)",Physics,10,Somewhat important,Pursue further study or research in the field,I considered the course prerequisites and my academic background,A mix of both theory and practice,Extremely interested,Maybe,Mathematical skills,Lab work,Mechanical Engineering,9,Physics
Passion for the subject,"Exposure through media (books, TV, etc.)",Physics,2,Neutral,Develop transferable skills for various job sectors,I didn’t think about it much; I just went for it,"A hands-on, practical approach with real-world applications",Somewhat interested,Maybe,Mathematical skills,Leadership skills,Mathematics,6,Physics
Interest in learning new skills,Personal experience or hobby,Physics,1,Somewhat important,Pursue further study or research in the field,I assumed it would be manageable based on my interests and strengths,A mix of both theory and practice,Somewhat interested,Maybe,Mathematical skills,Lab work,Mechanical Engineering,2,Physics
Passion for the subject,"Exposure through media (books, TV, etc.)",Physics,10,Somewhat important,Pursue further study or research in the field,I assumed it would be manageable based on my interests and strengths,A mix of both theory and practice,Somewhat interested,Maybe,technical skills,Lab work,Software Engineering,6,Physics
Passion for the subject,Inspired by a teacher or mentor,Psychology,7,Somewhat important,Secure a job in a specific industry or field,I researched online and talked to current students,A mix of both theory and practice,Extremely interested,Yes,Researching skills,Data analysis,No,5,Psychology
Interest in learning new skills,Inspired by a teacher or mentor,Information Technology,5,Somewhat important,Pursue further study or research in the field,I assumed it would be manageable based on my interests and strengths,A mix of both theory and practice,Somewhat interested,Maybe,Problem-solving,Data analysis,Psychology,3,Software Engineering
High earning potential after graduation,Career advice or guidance,Mathematics,9,Neutral,Develop transferable skills for various job sectors,I assumed it would be manageable based on my interests and strengths,"A hands-on, practical approach with real-world applications",Extremely interested,No,Problem-solving,Lab work,No,4,Software Engineering
Passion for the subject,"Exposure through media (books, TV, etc.)",Business,3,Extremely important,Pursue further study or research in the field,I considered the course prerequisites and my academic background,"A hands-on, practical approach with real-world applications",Extremely interested,No,Researching skills,Leadership skills,No,1,Software Engineering
Passion for the subject,Researching future career opportunities,Computer Engineering,10,Extremely important,Develop transferable skills for various job sectors,I researched online and talked to current students,"A collaborative, group-based learning experience",Extremely interested,Yes,technical skills,Lab work,Artificial Intelligence,4,Software Engineering
Passion for the subject,Personal experience or hobby,Computer Science,8,Extremely important,Secure a job in a specific industry or field,I researched online and talked to current students,"A theoretical, lecture-based approach with in-depth learning",Extremely interested,Yes,Mathematical skills,Data analysis,Physics,2,Software Engineering
Passion for the subject,"No clear reason, just interested in the subject",Biology,10,Somewhat important,Pursue further study or research in the field,I considered the course prerequisites and my academic background,A mix of both theory and practice,Somewhat interested,Yes,Researching skills,Data analysis,Biology,3,Zoology
Passion for the subject,"Exposure through media (books, TV, etc.)",Biology,8,Somewhat important,Secure a job in a specific industry or field,I assumed it would be manageable based on my interests and strengths,A mix of both theory and practice,Extremely interested,Yes,Researching skills,Lab work,Biology,6,Zoology
Strong job prospects and career opportunities,"No clear reason, just interested in the subject",Mathematics,6,Extremely important,Secure a job in a specific industry or field,I didn’t think about it much; I just went for it,A mix of both theory and practice,Extremely interested,Maybe,Mathematical skills,Data analysis,Mathematics,2,Mechanical Engineering
Strong job prospects and career opportunities,"Exposure through media (books, TV, etc.)",Software Engineering,1,Extremely important,Secure a job in a specific industry or field,I considered the course prerequisites and my academic background,"A hands-on, practical approach with real-world applications",Extremely interested,Maybe,technical skills,Lab work,No,4,Artificial Intelligence
High earning potential after graduation,Researching future career opportunities,Biology,1,Somewhat important,Develop transferable skills for various job sectors,I didn’t think about it much; I just went for it,"A hands-on, practical approach with real-world applications",Somewhat interested,Yes,technical skills,Leadership skills,No,8,Pharmacy
Passion for the subject,"No clear reason, just interested in the subject",Biology,5,Neutral,Secure a job in a specific industry or field,I considered the course prerequisites and my academic background,A mix of both theory and practice,Somewhat interested,No,Researching skills,Leadership skills,Biology,7,Zoology
High earning potential after graduation,"Exposure through media (books, TV, etc.)",Mathematics,7,Extremely important,Develop transferable skills for various job sectors,I considered the course prerequisites and my academic background,"A hands-on, practical approach with real-world applications",Extremely interested,Maybe,Problem-solving,Data analysis,Economics,9,Computer Science
Strong job prospects and career opportunities,Researching future career opportunities,Unknown,10,Somewhat important,Develop transferable skills for various job sectors,I considered the course prerequisites and my academic background,A mix of both theory and practice,Neutral,No,Researching skills,Leadership skills,No,3,Computer Science
Strong job prospects and career opportunities,Personal experience or hobby,Chemistry,10,Extremely important,Secure a job in a specific industry or field,I assumed it would be manageable based on my interests and strengths,"A hands-on, practical approach with real-world applications",Somewhat interested,Maybe,technical skills,Leadership skills,No,6,Chemistry
Interest in learning new skills,Personal experience or hobby,Unknown,8,Neutral,Secure a job in a specific industry or field,I assumed it would be manageable based on my interests and strengths,A mix of both theory and practice,Somewhat interested,Yes,Problem-solving,Leadership skills,No,4,Biology
Influence of family or friends,Inspired by a teacher or mentor,Chemistry,4,Somewhat important,Develop transferable skills for various job sectors,I considered the course prerequisites and my academic background,A mix of both theory and practice,Extremely interested,Yes,Problem-solving,Ethical reasoning,Dentistry,1,Pharmacy
Passion for the subject,Researching future career opportunities,Mathematics,9,Extremely important,Develop transferable skills for various job sectors,I researched online and talked to current students,A mix of both theory and practice,Somewhat interested,Maybe,Mathematical skills,Lab work,Teaching,2,Civil Engineering
Strong job prospects and career opportunities,"No clear reason, just interested in the subject",Chemistry,9,Neutral,Secure a job in a specific industry or field,I assumed it would be manageable based on my interests and strengths,"A hands-on, practical approach with real-world applications",Neutral,Yes,Problem-solving,Leadership skills,Medicine,5,Pharmacy
Strong job prospects and career opportunities,Personal experience or hobby,Chemistry,8,Extremely important,Pursue further study or research in the field,I assumed it would be manageable based on my interests and strengths,"A hands-on, practical approach with real-world applications",Somewhat interested,Maybe,technical skills,Leadership skills,No,4,Chemistry
Strong job prospects and career opportunities,Inspired by a teacher or mentor,Physics,6,Extremely important,Develop transferable skills for various job sectors,I considered the course prerequisites and my academic background,"A hands-on, practical approach with real-world applications",Somewhat interested,No,Mathematical skills,Lab work,Electrical Engineering,2,Mechanical Engineering
Passion for the subject,"No clear reason, just interested in the subject",Biology,3,Neutral,Develop transferable skills for various job sectors,I didn’t think about it much; I just went for it,"A hands-on, practical approach with real-world applications",Somewhat interested,Maybe,Researching skills,Data analysis,Biology,10,Bio Chemistry
High earning potential after graduation,Inspired by a teacher or mentor,Information Technology,6,Extremely important,Secure a job in a specific industry or field,I didn’t think about it much; I just went for it,A mix of both theory and practice,Somewhat interested,Maybe,Problem-solving,Ethical reasoning,No,6,Computer Science
Strong job prospects and career opportunities,"No clear reason, just interested in the subject",Chemistry,8,Neutral,Secure a job in a specific industry or field,I assumed it would be manageable based on my interests and strengths,"A hands-on, practical approach with real-world applications",Neutral,Yes,Problem-solving,Leadership skills,Medicine,1,Pharmacy
Passion for the subject,Researching future career opportunities,Mathematics,3,Extremely important,Develop transferable skills for various job sectors,I researched online and talked to current students,A mix of both theory and practice,Somewhat interested,Maybe,Mathematical skills,Lab work,Teaching,2,Civil Engineering
Interest in learning new skills,"No clear reason, just interested in the subject",Information Technology,5,Somewhat important,Develop transferable skills for various job sectors,I didn’t think about it much; I just went for it,"A theoretical, lecture-based approach with in-depth learning",Somewhat interested,Maybe,Researching skills,Data analysis,Cyber Security,5,Computer Science
Strong job prospects and career opportunities,Personal experience or hobby,Chemistry,7,Extremely important,Develop transferable skills for various job sectors,I considered the course prerequisites and my academic background,A mix of both theory and practice,Extremely interested,Maybe,technical skills,Data analysis,No,8,Chemical Engineering
Strong job prospects and career opportunities,Researching future career opportunities,Information Technology,9,Somewhat important,Develop transferable skills for various job sectors,I considered the course prerequisites and my academic background,A mix of both theory and practice,Neutral,No,Researching skills,Leadership skills,No,10,Computer Science
Interest in learning new skills,Researching future career opportunities,Biology,1,Extremely important,Develop transferable skills for various job sectors,I considered the course prerequisites and my academic background,"A hands-on, practical approach with real-world applications",Somewhat interested,Maybe,Researching skills,Lab work,Medicine,6,Bio-Medical Sciences
Passion for the subject,Researching future career opportunities,Mathematics,6,Extremely important,Secure a job in a specific industry or field,I researched online and talked to current students,A mix of both theory and practice,Somewhat interested,Yes,Mathematical skills,Lab work,Teaching,5,Civil Engineering
Interest in learning new skills,"No clear reason, just interested in the subject",Chemistry,6,Somewhat important,Pursue further study or research in the field,I assumed it would be manageable based on my interests and strengths,"A theoretical, lecture-based approach with in-depth learning",Somewhat interested,No,Researching skills,Data analysis,Biology,2,Bio Chemistry
High earning potential after graduation,Researching future career opportunities,Chemistry,4,Somewhat important,Develop transferable skills for various job sectors,I didn’t think about it much; I just went for it,"A hands-on, practical approach with real-world applications",Somewhat interested,No,technical skills,Leadership skills,No,9,Pharmacy
Passion for the subject,Personal experience or hobby,Biology,4,Extremely important,Develop transferable skills for various job sectors,I researched online and talked to current students,"A hands-on, practical approach with real-world applications",Extremely interested,No,Researching skills,Lab work,Cosmetics Science,2,Cosmetics Science
Strong job prospects and career opportunities,Personal experience or hobby,Chemistry,1,Extremely important,Secure a job in a specific industry or field,I assumed it would be manageable based on my interests and strengths,"A hands-on, practical approach with real-world applications",Somewhat interested,Yes,technical skills,Leadership skills,No,8,Chemistry
Passion for the subject,Personal experience or hobby,Chemistry,3,Somewhat important,Pursue further study or research in the field,I didn’t think about it much; I just went for it,"A hands-on, practical approach with real-world applications",Extremely interested,Maybe,Problem-solving,Lab work,Psychology,10,Pharmacy
High earning potential after graduation,Researching future career opportunities,Chemistry,10,Somewhat important,Develop transferable skills for various job sectors,I didn’t think about it much; I just went for it,"A hands-on, practical approach with real-world applications",Somewhat interested,Yes,technical skills,Leadership skills,No,4,Pharmacy
High earning potential after graduation,Inspired by a teacher or mentor,Information Technology,3,Extremely important,Secure a job in a specific industry or field,I didn’t think about it much; I just went for it,A mix of both theory and practice,Somewhat interested,Yes,Problem-solving,Ethical reasoning,No,1,Computer Science
Interest in learning new skills,"No clear reason, just interested in the subject",Business,7,Somewhat important,Secure a job in a specific industry or field,I didn’t think about it much; I just went for it,"A theoretical, lecture-based approach with in-depth learning",Somewhat interested,Maybe,Researching skills,Data analysis,Cyber Security,4,Computer Science
Passion for the subject,"No clear reason, just interested in the subject",Chemistry,7,Extremely important,Develop transferable skills for various job sectors,I didn’t think about it much; I just went for it,A mix of both theory and practice,Extremely interested,Yes,Researching skills,Data analysis,No,7,Chemistry
Passion for the subject,Inspired by a teacher or mentor,Computer Science,10,Neutral,Secure a job in a specific industry or field,I assumed it would be manageable based on my interests and strengths,"Self-paced, independent learning",Somewhat interested,No,technical skills,Lab work,No,9,Computer Science
Passion for the subject,Researching future career opportunities,Computer Engineering,3,Extremely important,Secure a job in a specific industry or field,I researched online and talked to current students,"A collaborative, group-based learning experience",Extremely interested,No,technical skills,Lab work,Artificial Intelligence,10,Software Engineering
Strong job prospects and career opportunities,Personal experience or hobby,Chemistry,10,Extremely important,Secure a job in a specific industry or field,I assumed it would be manageable based on my interests and strengths,"A hands-on, practical approach with real-world applications",Somewhat interested,Yes,technical skills,Leadership skills,No,6,Chemistry
Strong job prospects and career opportunities,Personal experience or hobby,Chemistry,3,Extremely important,Develop transferable skills for various job sectors,I assumed it would be manageable based on my interests and strengths,"A hands-on, practical approach with real-world applications",Somewhat interested,Yes,technical skills,Leadership skills,No,5,Chemistry
Passion for the subject,Researching future career opportunities,Mathematics,4,Extremely important,Develop transferable skills for various job sectors,I researched online and talked to current students,A mix of both theory and practice,Somewhat interested,No,Mathematical skills,Lab work,Teaching,10,Civil Engineering
Passion for the subject,"No clear reason, just interested in the subject",Applied Science,7,Neutral,Develop transferable skills for various job sectors,I didn’t think about it much; I just went for it,"A hands-on, practical approach with real-world applications",Extremely interested,Yes,technical skills,Lab work,No,10,Biology
Strong job prospects and career opportunities,Researching future career opportunities,Physics,7,Somewhat important,Secure a job in a specific industry or field,I assumed it would be manageable based on my interests and strengths,A mix of both theory and practice,Extremely interested,Maybe,Problem-solving,Data analysis,Sustainability Engineering,3,Mechanical Engineering
